,,,,,,,,Total,$44.46,
,,,,,,,,,,
Reference,Description,MPN,Manufacturer,Vendor PN,Vendor,Quantity,Unit Price,Price date,Price,Notes
U1-U6,Battery holders,1043,Keystone,534-1043,Mouser,6,$3.3900,2024-03-10,$20.34,
J1-J4,Battery configuration pin header,M50-3530242,Harwin,855-M50-3530242,Mouser,4,$0.1500,2024-03-10,$0.60,
J6,Thermistor override pin header,M50-3530242,Harwin,855-M50-3530242,Mouser,1,$0.1500,2024-03-10,$0.15,
None,"Top jumper / shunt, 1.27mm pitch",M50-1900005,Harwin,855-M50-1900005,Mouser,1,$0.4300,2024-03-10,$0.43,"Recommend just keeping several of these on hand and treating them as general supplies, rather than specific to this board."
None,"Top jumper / shunt, 2.54mm pitch",M7567-05,Harwin,855-M7567-05,Mouser,2,$0.3400,2024-03-10,$0.68,"Recommend just keeping several of these on hand and treating them as general supplies, rather than specific to this board.
These are high current shunts, mainly for use in selecting the BATTERY_+ voltage level (1s or 2s). Other, cheaper shunts will work on the other jumpers."
None,Power board interconnect cable,15132-1002,Molex,538-15132-1002,Mouser,1,$7.7300,2024-03-10,$7.73,Only one of these interconnect cables is strictly necessary. But it might be useful to have extras of various sizes.
None,Power board interconnect cable,15132-1003,Molex,538-15132-1003,Mouser,1,$8.1300,2024-03-10,$8.13,Only one of these interconnect cables is strictly necessary. But it might be useful to have extras of various sizes.
None,Power board interconnect cable,15132-1001,Molex,538-15132-1001,Mouser,1,$6.4000,2024-03-10,$6.40,Only one of these interconnect cables is strictly necessary. But it might be useful to have extras of various sizes.
M1-M4,M3 Bolts,,,,,4,,,$0.00,"Recommend just keeping several of these on hand and treating them as general supplies, rather than specific to this board."
M1-M4,M3 Nuts,,,,,4,,,$0.00,"Recommend just keeping several of these on hand and treating them as general supplies, rather than specific to this board."
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,